Chinese,English
水管修繕,Plumbing Repair
水槽,Sink
水療,Spa Treatment
父親,Father
牙科學院,Dental School
牛肉,Beef
犬隻訓練,Dog Training
犬隻健康,Dog Health
主題樂園,Theme Park
加盟連鎖,Franchise
包裝和標籤,Packaging and Labeling
北歐風設計,Scandinavian Design
占星術,Astrology
卡車,Truck
去角質,Exfoliation
古典樂,Classical Music
古馳,Gucci
可再生能源,Renewable Energy
四輪驅動,Four-Wheel Drive (4WD)
外食,Dining Out
外匯市場,Foreign Exchange Market (Forex)
外匯交易信號,Forex Trading Signals
外賣店,Takeaway Restaurant
市政事務,Municipal Affairs
市場,Market
市場趨勢,Market Trends
平面設計,Graphic Design
幼兒教育,Early Childhood Education
幼兒園,Kindergarten
幼兒照護,Childcare
幼童,Young Children / Toddler
幼稚園學前班,Preschool
打掃,Cleaning / Housekeeping
本日優惠,Deal of the Day
本地新聞,Local News
正式服裝,Formal Wear
母親,Mother
永久彩妝,Permanent Makeup
永續時尚,Sustainable Fashion
永續能源,Sustainable Energy
永續農業,Sustainable Agriculture
生物學,Biology
生活用品,Household Supplies
生活品質,Quality of Life
生活要事：新婚,Life Events: Newly Married
生活風格,Lifestyle
生活風格和家務內容,Lifestyle and Housekeeping Content
生啤酒,Draft Beer
生產率,Productivity
生態,Ecology
生態旅遊,Ecotourism
田地,Field / Farmland
由擁有者出售,For Sale by Owner (FSBO)
皮拉提斯,Pilates
交易策略,Trading Strategy
任天堂,Nintendo
企業家,Entrepreneur
企業管理,Business Management
伏特加,Vodka
休旅車,SUV (Sport Utility Vehicle)
休旅車營地,RV Campsite
休閒,Leisure
休閒活動,Recreational Activities
休閒娛樂,Entertainment and Leisure
休閒釣魚,Recreational Fishing
休閒遊戲,Casual Games
休閒餐廳,Casual Dining Restaurant
光學,Optics
全食食品超市,Whole Foods Market
共同基金,Mutual Fund
再融資,Refinancing
冰咖啡,Iced Coffee
印刷,Printing
吃角子老虎機,Slot Machine
名人,Celebrity
在地美食,Local Cuisine
在家下廚,Cooking at Home
在家教育,Home Education / Homeschooling
地板,Flooring
地點,Location / Place
多功能休旅車,Multipurpose Vehicle (MPV)
好市多,Costco
存款帳戶,Savings Account / Deposit Account
宅度假,Staycation
成人教育,Adult Education
托兒所,Nursery / Daycare
收入,Income / Revenue
收藏,Collecting / Collection
收藏用玩具,Collectible Toys
收藏品,Collectibles
早午餐,Brunch
早餐,Breakfast
有氧運動,Aerobic Exercise / Cardio
有機食品,Organic Food
有機產品,Organic Products
有機農業,Organic Farming
百家樂旅遊,Baccarat Tourism
百貨公司,Department Store
百達翡麗,Patek Philippe
羽球,Badminton
肉排,Steak
肉類食物,Meat Products
肌力訓練,Strength Training
自己動手做,Do It Yourself (DIY)
自由工作者,Freelancer
自行車,Bicycle / Cycling
自行車服務,Bicycle Services
自行組裝家具,Self-Assembly Furniture
自助旅行,Independent Travel
自我意識,Self-Awareness
自我照護,Self-Care
自我認知,Self-Knowledge
自訂車款,Custom Vehicle
自然,Nature
自然環境,Natural Environment
自然攝影,Nature Photography
自僱,Self-Employment
行動支付,Mobile Payment
行動博弈,Mobile Gambling
行動裝置,Mobile Device
行動銀行,Mobile Banking
行動應用程式,Mobile Application
行銷,Marketing
行銷人員,Marketer
行銷企劃,Marketing Planning
行銷服務和組織,Marketing Services and Organizations
行銷策略,Marketing Strategy
西裝,Business Suit
伸展,Stretching
住宅房地產,Residential Real Estate
住宅房地產經紀商,Residential Real Estate Agent
住宅區,Residential Area
住宅興建,Residential Construction
住家,Home / Residence
住家修繕,Home Repair
住家翻新,Home Renovation
克蘭詩,Clarins
別墅,Villa
均衡飲食,Balanced Diet
快時尚,Fast Fashion
快樂,Happiness
戒指,Ring
批發,Wholesale
技術分析,Technical Analysis
投資,Investment
投資和交易,Investment and Trading
投資者,Investor
投資組合,Investment Portfolio
投資報酬率,Return on Investment (ROI)
投資策略,Investment Strategy
投資管理,Investment Management
投資銀行業,Investment Banking
投影機,Projector
折扣和折讓,Discounts and Allowances
折扣商店,Discount Store
改裝車,Modified Car
求婚,Marriage Proposal
求職,Job Hunting
汽車,Automobile / Car
汽車技師,Auto Mechanic
汽車保養,Car Maintenance
汽車美容,Car Detailing
汽車媒體和內容,Automotive Media and Content
汽車業,Automotive Industry
汽車經銷,Car Dealership
汽車零件製造和銷售,Auto Parts Manufacturing and Sales
汽車維修廠,Auto Repair Shop
沙發床,Sofa Bed
男性修容用品,Men's Grooming Products
男裝品牌,Men's Fashion Brand
私立學校,Private School
私募股權投資,Private Equity Investment
系統工程,Systems Engineering
肖像攝影,Portrait Photography
育兒雜誌,Parenting Magazine
育嬰假,Parental Leave
良知消費,Conscious Consumption
足部護理,Foot Care
身心健康,Mind and Body Wellness
車輛保險,Vehicle Insurance
車輛銷售網站,Vehicle Sales Website
防曬乳,Sunscreen
乳製品,Dairy Products
亞洲文化,Asian Culture
亞洲教育,Asian Education
亞馬遜公司,Amazon (Company)
供應,Supply
供應鏈管理,Supply Chain Management
兒童,Children / Kids
兒童文學,Children's Literature
兒童安全座椅,Child Car Seat
兒童活動,Children's Activities
兒童發展,Child Development
兒童電視動畫,Children's TV Animation
初等教育,Primary Education
刺青,Tattoo
咖啡,Coffee
咖啡文化,Coffee Culture
咖啡豆,Coffee Bean
咖啡烘焙,Coffee Roasting
咖啡烹煮,Coffee Brewing
咖啡機,Coffee Machine
咖啡廳,Cafe / Coffee Shop
宜家家居,IKEA
居家用品零售商,Home Goods Retailer
居家事業,Home-Based Business
居家和園藝媒體,Home and Garden Media
居家風格和類型,Home Style and Types
居家裝修,Home Improvement
居家裝飾,Home Decor
居家裝潢零售商,Home Furnishing Retailer
居家裝潢構想,Home Decorating Ideas
居家飾品,Home Accessories
居家辦公家具,Home Office Furniture
房地產,Real Estate
房地產估價,Real Estate Appraisal
房地產投資,Real Estate Investment
房地產投資公司,Real Estate Investment Company
房地產投資俱樂部,Real Estate Investment Club
房地產開發,Real Estate Development
房地產開發商,Real Estate Developer
房地產經濟學,Real Estate Economics
房屋,House / Housing
房屋抵押貸款,Home Mortgage
房屋油漆工和裝修師,House Painter and Decorator
房屋保險,Home Insurance
房屋淨值,Home Equity
房屋廣告和入口網站,Real Estate Advertising Portal
服裝,Clothing / Apparel
服飾品牌和零售商,Clothing Brand and Retailer
武術,Martial Arts
油電混合車,Hybrid Vehicle
油電混合動力車,Hybrid Electric Vehicle
法式料理,French Cuisine
法律,Law
法律分支,Branch of Law
波段交易,Swing Trading
物流,Logistics
物理學,Physics
物業管理,Property Management
狗,Dog
狗用玩具,Dog Toy
狗狗美容,Dog Grooming
玩家,Gamer / Player
直運,Dropshipping
社區議題,Community Issues
社會運動,Social Movement
社會變遷,Social Change
社群媒體,Social Media
社群媒體行銷,Social Media Marketing
空調,Air Conditioning (HVAC)
股市指數,Stock Market Index
股市指數期貨,Stock Index Futures
股份,Stock / Shares
股票,Stocks / Equities
股票市場,Stock Market
股票經紀人,Stockbroker
肥皂劇,Soap Opera
肥料,Fertilizer
肯德基,KFC (Kentucky Fried Chicken)
臥室家具,Bedroom Furniture
花卉,Flowers / Floriculture
花園建築和裝飾,Garden Architecture and Decoration
表演藝術,Performing Arts
金融市場,Financial Markets
金融服務,Financial Services
金錢,Money
金屬加工,Metalworking
長髮,Long Hair
門禁社區,Gated Community
非小說,Non-Fiction
非營利組織,Non-Profit Organization (NPO)
便利商店,Convenience Store
促銷,Promotion / Sales Promotion
保健內容,Health and Wellness Content
保單,Insurance Policy
保險,Insurance
保濕霜,Moisturizer
信用卡,Credit Card
信用額度,Credit Limit
信貸,Credit / Loan
信貸服務和組織,Credit Services and Organizations
冒險旅遊,Adventure Travel
品酒,Wine Tasting
品牌,Brand
威士忌,Whisky / Whiskey
室內建築,Interior Architecture
室內盆栽,Indoor Plants
室內設計,Interior Design
室內設計內容,Interior Design Content
室內設計雜誌,Interior Design Magazine
室內裝潢品牌和零售商,Interior Furnishing Brand and Retailer
幽默,Humor
度假,Vacation / Holiday
度假村,Resort
度假屋,Holiday Home
度假屋出租,Vacation Rental
建材,Building Materials
建築,Architecture / Construction
建築服務和組織,Construction Services and Organizations
建築物,Building
建築媒體,Architecture Media
建築業,Construction Industry
待租房屋資訊和內容,Rental Property Information and Content
律師,Lawyer / Attorney
律師事務所,Law Firm
後院,Backyard
指甲彩繪,Nail Art
指數股票型基金,Exchange-Traded Fund (ETF)
指數基金,Index Fund
政府,Government
政府員工,Government Employee
政府機關概念和作法,Government Agency Concepts and Practices
政治,Politics
政治和社會議題,Political and Social Issues
星巴克,Starbucks
星座,Horoscope / Zodiac
染髮,Hair Dyeing / Hair Color
洗車,Car Wash
活動管理,Event Management
派對,Party
派對策劃,Party Planning
流行文化,Pop Culture
流行音樂,Pop Music
炸雞,Fried Chicken
狩獵和射擊新聞和內容,Hunting and Shooting News and Content
相片,Photo / Photography
研究所,Graduate School
研究所教育,Graduate Education
科技,Technology
科技品牌,Technology Brand
科技新聞,Technology News
科學,Science
穿戴式科技,Wearable Technology
突發新聞,Breaking News
美甲,Nail Care / Manicure
美甲沙龍,Nail Salon
美妝店,Beauty Store
美妝造型媒體,Beauty and Styling Media
美妝網紅,Beauty Influencer
美食,Gourmet / Food
美食家,Foodie / Gourmet
美食與美酒,Food and Wine
美容,Beauty
美容沙龍,Beauty Salon
美容美體,Beauty and Body Care
美國貨運業,American Freight Industry
美國職棒大聯盟,Major League Baseball (MLB)
美術,Fine Arts
美術館,Art Gallery / Museum
美髮產品,Hair Care Products
美學,Aesthetics
耐吉公司,Nike Inc.
背包,Backpack
背包旅行,Backpacking
英雄聯盟,League of Legends
英語,English Language
訂婚,Engagement
訂婚戒指,Engagement Ring
軍事,Military
迪士尼樂園,Disneyland
重型設備,Heavy Equipment
重量訓練,Weight Training
面膜,Face Mask / Sheet Mask
音樂和音訊串流,Music and Audio Streaming
音樂會和現場演出,Concert and Live Performance
音樂節,Music Festival
音樂廣播,Music Broadcasting
音響設備,Audio Equipment
音響設備品牌和零售商,Audio Equipment Brand and Retailer
風景攝影,Landscape Photography
風險投資,Venture Capital
食材,Food Ingredients
食品,Food
食品媒體和內容,Food Media and Content
食譜,Recipe
首次購房者,First-Time Home Buyer
首次購屋補助,First Home Subsidy
首飾,Jewelry / Accessories
香水,Perfume
香奈兒,Chanel
香檳,Champagne
倉儲業,Warehousing Industry
個人理財,Personal Finance
個人理財服務和組織,Personal Finance Services and Organizations
個人發展,Personal Development
個人電腦,Personal Computer (PC)
個人護理,Personal Care
倫敦證券交易所,London Stock Exchange (LSE)
兼職,Part-Time Work
冥想,Meditation
夏天,Summer
娛樂網站,Entertainment Website
家長教師聯誼會,Parent-Teacher Association (PTA)
家庭,Family
家庭自動化,Home Automation
家庭桌遊,Family Board Games
家庭購物,Home Shopping
家畜,Livestock
家務,Household Chores
家務管理和整理,Household Management and Organization
家電,Home Appliances
家電品牌和零售商,Home Appliance Brand and Retailer
師範教育,Teacher Education
庭院家具,Patio Furniture
拳擊運動員,Boxer (Athlete)
捐贈,Donation
旅行社和預訂,Travel Agency and Booking
旅行攝影,Travel Photography
旅遊,Travel / Tourism
旅遊景點和活動,Tourist Attractions and Activities
旅遊網站,Travel Website
時事,Current Events / News
時尚,Fashion
時尚配件,Fashion Accessories
時尚設計,Fashion Design
時尚媒體,Fashion Media
時尚機構,Fashion Agency
書籍,Books
書籍出版社,Book Publisher
桌上遊戲,Board Game
桌子,Table
氣泡酒,Sparkling Wine
泰式料理,Thai Cuisine
浴室,Bathroom
海鮮,Seafood
消費電子產品,Consumer Electronics
消費電子產品媒體和內容,Consumer Electronics Media and Content
消費電子產品零售商,Consumer Electronics Retailer
烘培坊,Bakery
烘焙,Baking
烤肉,Barbecue / Grilling
烤肉架,Barbecue Grill
特斯拉汽車,Tesla Motors
特賣促銷,Flash Sale / Special Promotion
畜牧業,Animal Husbandry / Livestock Farming
益生菌,Probiotics
益智玩具,Educational Toys
益智電玩遊戲,Puzzle Video Games
真人實境秀,Reality TV Show
租車,Car Rental
租賃,Leasing / Rental
粉底,Foundation (Makeup)
純素營養,Vegan Nutrition
紙牌遊戲,Card Game
素食主義,Vegetarianism / Veganism
素食料理,Vegetarian Cuisine
能量飲料,Energy Drink
能源,Energy
能源效率,Energy Efficiency
航空,Aviation
航空旅行,Air Travel
航海王,One Piece (Anime)
茶,Tea
茶葉品牌,Tea Brand
草地,Grass / Lawn
訓練,Training
財務規劃,Financial Planning
財務會計,Financial Accounting
財務顧問,Financial Advisor
財富,Wealth
財富管理,Wealth Management
財經,Finance / Economics
起司,Cheese
起步房,Starter Home
迷因和社群媒體貼文分享論壇,Memes and Social Media Sharing Forum
退伍軍人福利,Veterans Benefits
退休年齡,Retirement Age
退休社區,Retirement Community
退休金,Pension
退休基金,Retirement Fund
退休規劃,Retirement Planning
配送,Delivery / Distribution
配送訂單,Delivery Order
酒莊,Winery
酒精飲品,Alcoholic Beverages
酒類商品零售商,Liquor Retailer
馬拉松,Marathon
馬術運動,Equestrian Sport
高中,High School
高科技,High Technology
高級訂製時裝,Haute Couture
高淨值人士,High-Net-Worth Individual (HNWI)
高等教育,Higher Education
高爾夫球,Golf
高爾夫球裝備,Golf Equipment
假期,Holiday / Vacation
假睫毛,False Eyelashes
健力,Powerlifting
健行和露營,Hiking and Camping
健行和露營裝備,Hiking and Camping Gear
健行裝備,Hiking Gear
健身,Fitness
健身和保健,Fitness and Wellness
健身服務,Fitness Services
健身俱樂部,Fitness Club / Gym
健身器材和服裝,Fitness Equipment and Clothing
健康和保健,Health and Wellness
健康的生活方式,Healthy Lifestyle
健康的習慣,Healthy Habits
健康食品,Health Food
健康食品品牌,Health Food Brand
健康飲食的食譜,Healthy Eating Recipes
動作遊戲,Action Game
動畫,Animation
動畫片,Animated Film
動畫和漫畫,Animation and Comics
動漫電影,Anime Film
動機,Motivation
商用不動產,Commercial Real Estate
商務旅遊,Business Travel
商務艙,Business Class
商業,Business
商業分析,Business Analysis
商業行銷,Business Marketing
商業計畫,Business Plan
商業智慧,Business Intelligence (BI)
商業領袖,Business Leader
商業模式,Business Model
商學院,Business School
商機,Business Opportunity
啤酒,Beer
國家公園,National Park
國際新聞,International News
國際學校,International School
培訓和開發,Training and Development
基層工作,Entry-Level Job
奢華度假村,Luxury Resort
婚戒,Wedding Ring
婚姻,Marriage
婚宴,Wedding Banquet
婚紗,Wedding Dress / Bridal Gown
婚紗攝影,Wedding Photography
婚禮,Wedding
婚禮教堂,Wedding Chapel
婚禮網站和部落格,Wedding Website and Blog
婚禮攝影,Wedding Photography
專案管理,Project Management
專業發展,Professional Development
帳篷,Tent
彩券,Lottery
情感,Emotion / Feelings
教育技術學,Educational Technology
教育新聞,Education News
教育資源,Educational Resources
教育學,Pedagogy / Education Studies
教練輔導,Coaching / Mentoring
教養方式,Parenting Styles
晚餐,Dinner
淋浴間,Shower
混凝土,Concrete
清潔,Cleaning
清潔劑,Cleaning Agent / Detergent
烹飪,Cooking
烹飪和烘焙用具,Cooking and Baking Utensils
烹飪學,Culinary Arts
牽引機,Tractor
現代家具,Modern Furniture
現代藝術,Modern Art
現場活動,Live Event
現場音樂,Live Music
球類運動,Ball Sports
甜點,Dessert / Sweets
產品,Product
產品設計,Product Design
眼鏡,Eyeglasses / Glasses
船艇製造和銷售,Boat Manufacturing and Sales
蛋白奶昔,Protein Shake
蛋白棒,Protein Bar
蛋白質,Protein
蛋糕,Cake
被動收入,Passive Income
設計,Design
設計師服飾,Designer Clothing
設計貿易展和專業組織,Design Trade Show and Professional Organization
軟體,Software
軟體工程,Software Engineering
軟體開發,Software Development
透鏡,Lens
通訊,Communication / Telecommunications
通勤,Commuting
速食,Fast Food
速食休閒餐廳,Fast Casual Restaurant
速食餐廳,Fast Food Restaurant
連棟住宅,Terraced House / Row House
部落格,Blog
都會車,City Car
野餐,Picnic
頂層公寓,Penthouse Apartment
魚,Fish
鳥,Bird
麥當勞,McDonald's
傢俱,Furniture
創意,Creativity
創意房地產投資,Creative Real Estate Investment
創意創業,Creative Entrepreneurship
創意寫作,Creative Writing
創新,Innovation
勞力士,Rolex
博奕,Gambling
博彩公司,Gambling / Betting Company
喜帖,Wedding Invitation
報紙,Newspaper
復古衣著,Vintage Clothing
散步,Walking / Stroll
景觀設計,Landscape Design
智慧型手錶,Smartwatch
智慧型電視,Smart TV
智慧科技,Smart Technology
智慧裝置,Smart Device
暑假,Summer Holiday / Summer Vacation
棉花,Cotton
棒球,Baseball
椅子,Chair
植物,Plant
游泳,Swimming
游泳池,Swimming Pool
游泳和水上運動,Swimming and Water Sports
游泳和水上運動裝備,Swimming and Water Sports Equipment
無線通訊,Wireless Communication
無線網路,Wireless Network / Wi-Fi
登山,Mountaineering / Hiking
登山步道,Hiking Trail
發展心理學,Developmental Psychology
硬碟,Hard Drive (HDD)
程式語言,Programming Language
窗戶,Window
童裝,Children's Clothing
策略管理,Strategic Management
結婚紀念日,Wedding Anniversary
結婚蛋糕,Wedding Cake
虛擬實境,Virtual Reality (VR)
街頭時尚,Street Fashion
街邊小吃,Street Food / Snacks
視覺藝術,Visual Arts
買一送一,Buy One Get One Free (BOGO)
貸款,Loan
貸款計算機,Loan Calculator
貿易,Trade
超市,Supermarket
跑步,Running / Jogging
跑步俱樂部,Running Club
跑車,Sports Car
進口,Import
量販店,Hypermarket / Wholesale Store
開花植物,Flowering Plant
開發潛在顧客,Lead Generation
雅詩蘭黛公司,Estée Lauder (Company)
雲端運算,Cloud Computing
飯店,Hotel
飲料,Beverage / Drink
黃金,Gold
嗜好,Hobby
園林設計,Garden Design
園藝,Gardening / Horticulture
園藝工具,Gardening Tools
園藝造景,Garden Landscaping
奧迪,Audi
愛迪達,Adidas
愛馬仕,Hermès
慈善和公益,Charity and Public Interest
搜尋引擎行銷,Search Engine Marketing (SEM)
搜尋引擎最佳化,Search Engine Optimization (SEO)
新公寓,New Apartment
新生兒派對,Baby Shower
新屋,New Home
新創公司,Startup Company
新聞媒體,News Media
新聞播報,News Broadcasting
新聞雜誌,News Magazine
新興技術,Emerging Technology
暖通空調,HVAC (Heating Ventilation and Air Conditioning)
會計學,Accounting
業務開發,Business Development
極限運動,Extreme Sports
滑雪,Skiing
滑雪板,Snowboard
滑雪勝地,Ski Resort
照明,Lighting
瑜珈,Yoga
瑜珈教室和教學,Yoga Studio and Teaching
瑜珈褲,Yoga Pants
當代美術館,Contemporary Art Museum
當代藝術,Contemporary Art
當沖交易,Day Trading
節奏藍調音樂,Rhythm and Blues (R&B)
節儉生活風格內容,Frugal Lifestyle Content
節慶,Festival / Celebration
經銷,Dealership / Distribution
經濟,Economy
經濟學,Economics
義大利料理,Italian Cuisine
義大利麵,Pasta
葡萄酒,Wine
葡萄酒和烈酒,Wine and Spirits
葡萄酒相關內容,Wine-Related Content
裝飾藝術,Decorative Arts
資料分析,Data Analysis
資料安全,Data Security
資料科學,Data Science
資料庫,Database
資料視覺化,Data Visualization
資料管理,Data Management
資格預審,Pre-Qualification
資訊安全,Information Security
資訊科技,Information Technology (IT)
資產管理,Asset Management
跟團旅行,Group Tour
路易威登,Louis Vuitton
農夫市集,Farmers Market
農企業,Agribusiness
農作物,Crop
農場,Farm
農業,Agriculture
農業服務和組織,Agricultural Services and Organizations
農業新聞和內容,Agricultural News and Content
農業機械,Agricultural Machinery
遊艇,Yacht
遊艇俱樂部,Yacht Club
遊輪,Cruise Ship
遊戲,Game
運動,Sports
運動服裝,Sportswear / Athletic Clothing
運動俱樂部,Sports Club
運動場所,Sports Venue
運動鞋,Sneakers / Athletic Shoes
運動鞋收藏,Sneaker Collecting
運動類遊戲,Sports Games
運輸,Transportation
運輸和物流服務和組織,Transportation and Logistics Services
零食,Snack
零售業,Retail Industry
零售銀行業務,Retail Banking
電,Electricity
電子交易,Electronic Trading
電子音樂,Electronic Music
電子書,E-Book
電子商務,E-Commerce
電子商務網站,E-Commerce Website
電子產品,Electronic Products
電子郵件行銷,Email Marketing
電子競技,Esports
電玩相關內容,Video Game Related Content
電玩遊戲,Video Games
電玩遊戲網路媒體,Video Game Online Media
電信服務,Telecommunications Services
電信業,Telecommunications Industry
電動工具,Power Tools
電動牙刷,Electric Toothbrush
電動自行車,Electric Bicycle (E-Bike)
電動車,Electric Vehicle (EV)
電視節目,TV Show / Television Program
電視談話節目,TV Talk Show
電腦,Computer
電腦工程,Computer Engineering
電腦安全,Computer Security
電腦伺服器,Computer Server
電腦科學,Computer Science
電腦記憶體,Computer Memory (RAM)
電腦配件,Computer Accessories
電腦程式設計,Computer Programming
電腦遊戲,Computer Games
電影,Movie / Film
電影和電視業,Film and Television Industry
電影院,Cinema / Movie Theater
電影愛好者,Film Enthusiast
電影製作,Film Production
電影攝影,Cinematography
電機工程,Electrical Engineering
電競電腦,Gaming PC
電競聯盟和競賽,Esports League and Competition
僱傭,Employment / Hiring
團隊運動,Team Sports
壽司,Sushi
寢具,Bedding
慢跑,Jogging
歌唱,Singing
演唱會,Concert
漫威娛樂,Marvel Entertainment
漫威漫畫,Marvel Comics
漫畫,Comics / Manga
碩士學位,Master's Degree
精品,Luxury Goods / Boutique
精品名錶,Luxury Watch
精品咖啡,Specialty Coffee
精品店,Boutique Store
綜合娛樂電視頻道,General Entertainment TV Channel
綜合格鬥,Mixed Martial Arts (MMA)
綜藝節目,Variety Show
綜藝電視節目,Variety TV Show
維他命和營養補充品,Vitamins and Nutritional Supplements
維修和操作,Maintenance and Operation
網紅行銷,Influencer Marketing
網頁遊戲,Browser Games
網站代管,Web Hosting
網站設計,Website Design
網站開發,Website Development
網球,Tennis
網球選手,Tennis Player
網絡報紙,Online Newspaper
網路,Internet / Network
網路娛樂,Online Entertainment
網路迷因,Internet Meme
網路博奕,Online Gambling
網路遊戲,Online Gaming
網路電視,Internet TV / Streaming
網路銀行,Online Banking
網路廣告,Online Advertising
網路儲存,Network Storage
網路購物,Online Shopping
網路購物網站,Online Shopping Website
網路雜貨商,Online Grocery
舞蹈,Dance
舞廳,Dance Hall / Ballroom
製造生產服務和組織,Manufacturing and Production Services
製造業,Manufacturing Industry
說故事,Storytelling
豪奢生活方式,Luxury Lifestyle
豪華旅遊,Luxury Travel
豪華轎車,Luxury Sedan / Limousine
賓士,Mercedes-Benz
遛狗,Dog Walking
遠距教學,Distance Learning / E-Learning
銀行和金融服務,Banking and Financial Services
銀行帳戶,Bank Account
銀行業,Banking Industry
領導,Leadership
劇院,Theater
劇情片,Drama Film
嘻哈音樂,Hip-Hop Music
墨鏡,Sunglasses
嬌生公司,Johnson & Johnson
嬌生嬰兒,Johnson's Baby
寫作,Writing
廚具,Kitchen Utensils
廚房,Kitchen
廚房家電,Kitchen Appliances
廚房器具,Kitchen Equipment
廚櫃,Kitchen Cabinet
廣告,Advertising
廣告代理商,Advertising Agency
廣告行銷活動,Advertising Campaign
影展,Film Festival
影視獎項,Film and TV Awards
徵才,Recruitment
徵才網站,Recruitment Website / Job Board
摩托車,Motorcycle
摩托車配件,Motorcycle Accessories
數位行銷,Digital Marketing
數位相機,Digital Camera
數位貨幣,Digital Currency / Cryptocurrency
數位媒體,Digital Media
數位攝影,Digital Photography
樂高,LEGO
樂器,Musical Instrument
線上訂餐,Online Food Ordering
線上撲克,Online Poker
膠原蛋白,Collagen
蔬菜,Vegetable
衝浪,Surfing
衝浪裝備和服裝,Surfing Gear and Clothing
課程,Course / Curriculum
賣書,Selling Books
賭場,Casino
賭場遊戲,Casino Games
趣味,Fun / Entertainment
輪胎,Tire
輪胎品牌和商店,Tire Brand and Store
輪班工作制,Shift Work System
輪盤,Roulette
銷售管理,Sales Management
閱讀,Reading
鞋類媒體和內容,Footwear Media and Content
駕駛,Driving
髮型,Hairstyle
學生,Student
學校,School
學習,Learning
整建,Renovation / Reconstruction
樹,Tree
機械工程,Mechanical Engineering
機器學習,Machine Learning
歷史,History
燒烤,Barbecue / BBQ
獨立式洋房,Detached House
獨資企業,Sole Proprietorship
糕點,Pastry
糖,Sugar
親子,Parent and Child
親子教育,Parenting Education
貓,Cat
貓咪玩具和遊戲,Cat Toys and Games
貓砂,Cat Litter
貓糧,Cat Food
選擇權,Options (Financial)
隨選影片,Video on Demand (VOD)
雕刻,Sculpture / Carving
餐旅業,Hospitality Industry
餐飲業,Food and Beverage Industry
餐點,Meal / Food
餐廳,Restaurant
優格,Yogurt
儲蓄,Savings
儲蓄帳戶,Savings Account
嬰幼兒和孕婦用品店,Baby and Maternity Store
嬰兒副食品,Baby Food / Complementary Food
幫寶適,Pampers
應用程式軟體,Application Software
戲劇,Drama / Theater
營地,Campsite / Camp
環境科學,Environmental Science
縫紉,Sewing
聯結車,Articulated Truck / Semi-Trailer
聯盟行銷,Affiliate Marketing
膽固醇,Cholesterol
臉部保養,Facial Care
購物,Shopping
